"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","detailed_logs","drop_prob","enable_wandb","gamma","hidden_dim","learning_rate","model","momentum","num_epochs","num_views","optimizer","patience","pooling","scheduler","seed","step_size","task_name","use_scheduler","view_index","dev_accuracy","dev_auroc","dev_f1_score","dev_loss","test_accuracy","test_auroc","test_f1_score","test_precision","test_recall","train_loss"
"bumbling-sweep-175","finished","-","","","2026-01-22T21:34:31.000Z","7","hhpm976u","256","false","0.2719306159123572","true","0.8808588244592819","768","0.0008526367904963961","VideoPrism","0.9","27","1","SGD","3","max","step","73587","11","facial_expression_disgust","yes","0","0.6694444444444444","0.7071027581156943","0","0.615442881319258","0.7020648967551623","0.7224394708378401","0","0","0","0.615693789338667"
"light-sweep-38","finished","-","","","2026-01-22T21:34:31.000Z","29","kdhpwwbt","256","false","0.3268183003866359","true","0.8808588244592819","768","0.003415416229671231","VJEPA2_SSV2","0.9","191","1","AdamW","3","max","step","49330","11","nose_touch","no","0","0.31268436578171094","0.5","0.4764044943820225","68.73156269039728","0.28434504792332266","0.5","0.4427860696517413","0.28434504792332266","1","68.65364913705197"
"fragrant-sweep-200","finished","-","","","2026-01-22T21:34:31.000Z","14","78wphc9r","256","false","0.266958712272121","true","0.8808588244592819","512","0.004025417813987254","VideoMAE","0.9","40","1","AdamW","3","max","reduce","59909","11","sustained_phonation_o","yes","0","0.6555555555555556","0.6595589575359943","0","0.6331816090477838","0.6747967479674797","0.6153614457831326","0","0","0","0.6314569588993016"
"cosmic-sweep-149","finished","-","","","2026-01-22T21:34:30.000Z","14","anpqbigc","256","false","0.4388314339052818","true","0.8808588244592819","1024","0.0018132702369926376","VideoMAEv2","0.9","44","1","AdamW","3","mean","reduce","62216","11","facial_expression_smile","no","0","0.7142857142857143","0.7636499119360519","0.36585365853658536","0.553260210451189","0.7243401759530792","0.704077446878333","0.3380281690140845","0.6","0.2352941176470588","0.6503066941577373"
"cosmic-sweep-48","finished","-","","","2026-01-22T21:34:29.000Z","17","2287v01z","256","false","0.19345220665348803","true","0.8808588244592819","768","0.0005609829158742607","ViViT","0.9","164","1","SGD","3","mean","step","87144","11","head_pose","no","0","0.6826568265682657","0.7377689626156989","0.5168539325842697","0.5678149954419295","0.7056451612903226","0.7150026215264774","0.45925925925925926","0.5535714285714286","0.3924050632911392","0.4806832164446935"
"crimson-sweep-101","finished","-","","","2026-01-22T21:34:28.000Z","20","2s3khxvt","256","false","0.2066169787706346","true","0.8808588244592819","256","0.00009418803494000194","ViViT","0.9","137","1","AdamW","3","mean","reduce","35699","11","finger_tapping","yes","0","0.7083333333333334","0.7980902777777777","0.6366782006920415","0.5714394211769104","0.6616766467065869","0.7401418194396403","0.5108225108225108","0.44360902255639095","0.6020408163265306","0.38160286883563177"
"atomic-sweep-129","finished","-","","","2026-01-22T21:34:27.000Z","9","8kymj26f","256","false","0.2973167178148715","true","0.8808588244592819","512","0.000018403926698360697","VideoPrism","0.9","69","1","SGD","3","mean","step","58732","11","extend_arm","no","0","0.6694444444444444","0.5499145716377838","0","0.6521987067328558","0.7","0.5931372549019608","0","0","0","0.6787859345172379"
"graceful-sweep-141","finished","-","","","2026-01-22T21:34:27.000Z","19","2ga080l9","256","false","0.4821837845833109","true","0.8808588244592819","768","0.000576124956854072","VJEPA2_SSV2","0.9","85","1","AdamW","3","max","reduce","9928","11","eye_gaze","yes","0","0.34686346863468637","0.5","0.5150684931506849","65.31365324210417","0.328125","0.5","0.4941176470588235","0.328125","1","64.70588249256409"
"sleek-sweep-9","finished","-","","","2026-01-22T21:34:25.000Z","13","455hbjvp","256","false","0.4202986361416724","true","0.8808588244592819","256","0.00018917184340810464","ViViT","0.9","67","1","SGD","3","max","step","50364","11","tongue_twister","yes","0","0.6465863453815262","0.713579898362507","0","0.6238396763801575","0.6946902654867256","0.6410966491276655","0","0","0","0.6245888738796629"
"sandy-sweep-94","finished","-","","","2026-01-22T21:34:24.000Z","32","jkvt5udi","256","false","0.23020387046295215","true","0.8808588244592819","512","0.0017405975646871711","VJEPA2_SSV2","0.9","143","1","SGD","3","mean","reduce","3165","11","flip_palm","yes","0","0.7917888563049853","0.8401613413476748","0.6502463054187192","0.44986349886113947","0.821656050955414","0.8584769038701623","0.654320987654321","0.726027397260274","0.5955056179775281","0.4106893866087618"
