name,seed,gamma,model,pooling,momentum,patience,drop_prob,num_views,optimizer,scheduler,step_size,task_name,batch_size,hidden_dim,num_epochs,view_index,enable_wandb,detailed_logs,learning_rate,use_scheduler,_runtime,_step,_timestamp,dev_accuracy,dev_auroc,dev_f1_score,dev_loss,test_accuracy,test_auroc,test_f1_score,test_npv,test_positives,test_precision,test_recall,test_samples,test_specificity,train_loss,_wandb.runtime
smart-sweep-641,24356,0.8808588244592819,VideoPrism,max,0.9,3,0.20168395826419427,4,SGD,step,11,sustained_phonation_a,64,256,152,-1,True,False,1.0795228055534448e-05,no,18,152,1769844811.4208555,0.6531365313653137,0.455403293665104,0.0,0.6683196130713853,0.68,0.47911764705882354,0.0,0.68,80,0.0,0.0,250,1.0,0.7044758981871373,18
helpful-sweep-2920,34006,0.8808588244592819,TimeSformer,mean,0.9,3,0.19141194176365356,4,SGD,reduce,11,sustained_phonation_a,64,768,68,-1,True,False,0.0012626805539489505,yes,38,68,1769997584.0348277,0.654275092936803,0.45515640273704794,0.0,0.6473550063083606,0.6814516129032258,0.5344168976106659,0.0,0.6814516129032258,79,0.0,0.0,248,1.0,0.7416258224040397,38
devout-sweep-1013,27288,0.8808588244592819,ViViT,max,0.9,3,0.24800013564584247,4,SGD,reduce,11,sustained_phonation_a,64,1024,27,-1,True,False,6.0629143023670325e-05,no,32,27,1769870088.9939826,0.654275092936803,0.4545454545454546,0.0,0.6733625989864307,0.6814516129032258,0.5505954610141562,0.0,0.6814516129032258,79,0.0,0.0,248,1.0,0.7019506404488498,32
celestial-sweep-3506,8997,0.8808588244592819,VideoMAE,max,0.9,3,0.3143127544060387,4,SGD,reduce,11,sustained_phonation_a,64,512,33,-1,True,False,0.00024367487533167833,yes,33,33,1770036982.9142413,0.654275092936803,0.45423998044965785,0.0,0.66949979789195,0.68,0.4373529411764706,0.0,0.68,80,0.0,0.0,250,1.0,0.7040402475683267,33
driven-sweep-2092,29283,0.8808588244592819,VideoMAEv2,max,0.9,3,0.4894386433284633,4,SGD,step,11,sustained_phonation_a,64,768,62,-1,True,False,5.415836428135456e-05,yes,38,62,1769941101.7904024,0.6531365313653137,0.4542012261089074,0.0,0.6463752754060105,0.68,0.45235294117647057,0.0,0.68,80,0.0,0.0,250,1.0,0.7654325250283028,38
devoted-sweep-3442,9014,0.8808588244592819,VJEPA2,max,0.9,3,0.27002241287074846,4,SGD,reduce,11,sustained_phonation_a,64,256,20,-1,True,False,0.003424447651100438,no,55,20,1770033130.617301,0.6531365313653137,0.4541411227310976,0.0,0.6521444083139906,0.6814516129032258,0.4866676653434201,0.0,0.6814516129032258,79,0.0,0.0,248,1.0,0.7258597864415203,55
frosty-sweep-1162,31165,0.8808588244592819,VJEPA2_SSV2,max,0.9,3,0.4233340688961945,4,AdamW,step,11,sustained_phonation_a,64,256,91,-1,True,False,0.00014827264987072496,yes,98,91,1769880109.5796368,0.3540856031128405,0.45399179134118894,0.5229885057471264,0.6990580370917858,0.3333333333333333,0.4997470062405127,0.5,0.0,77,0.3333333333333333,1.0,231,0.0,0.6913327828040065,98
earthy-sweep-2226,96446,0.8808588244592819,VideoPrism,mean,0.9,3,0.15028654449580975,4,SGD,step,11,sustained_phonation_a,64,512,79,-1,True,False,4.963423749726e-05,no,16,79,1769950203.4082265,0.6531365313653137,0.4535701406419041,0.0,0.6676603052009076,0.68,0.5036029411764706,0.0,0.68,80,0.0,0.0,250,1.0,0.7051175034161911,16
restful-sweep-281,31238,0.8808588244592819,VideoMAEv2,max,0.9,3,0.437388771402868,4,SGD,step,11,sustained_phonation_a,64,256,45,-1,True,False,4.831414537784224e-05,no,34,45,1769820003.1510582,0.34686346863468637,0.4533597788195697,0.5150684931506849,0.8940384889440783,0.32,0.5265441176470589,0.48484848484848486,0.0,80,0.32,1.0,250,0.0,0.7435050219008066,34
good-sweep-1107,41457,0.8808588244592819,VideoMAEv2,max,0.9,3,0.3073684055621733,4,SGD,reduce,11,sustained_phonation_a,64,1024,51,-1,True,False,0.00025842903088745515,yes,39,51,1769876451.4185112,0.6531365313653137,0.4531794686861402,0.0,0.6464228350737878,0.68,0.38617647058823534,0.0,0.68,80,0.0,0.0,250,1.0,0.7521843019041042,39
dry-sweep-973,46414,0.8808588244592819,VideoPrism,max,0.9,3,0.35462288961759925,4,SGD,step,11,sustained_phonation_a,64,512,117,-1,True,False,0.0008152943691209001,no,21,117,1769867009.542593,0.34686346863468637,0.4531494169972352,0.5150684931506849,0.7068021365637269,0.32,0.5163235294117647,0.48484848484848486,0.0,80,0.32,1.0,250,0.0,0.691348379098096,21
sweet-sweep-3113,49805,0.8808588244592819,ViViT,mean,0.9,3,0.3870501135811849,4,SGD,reduce,11,sustained_phonation_a,64,768,169,-1,True,False,0.00011500787000289158,no,43,169,1770009998.1171317,0.654275092936803,0.4525904203323558,0.0,0.663480611760377,0.6814516129032258,0.42745861733203505,0.0,0.6814516129032258,79,0.0,0.0,248,1.0,0.7105490442531128,43
pretty-sweep-1463,55724,0.8808588244592819,VideoPrism,mean,0.9,3,0.3014384036644062,4,SGD,reduce,11,sustained_phonation_a,64,1024,72,-1,True,False,2.743270884770485e-05,no,11,72,1769898256.826321,0.6531365313653137,0.452518331530232,0.0,0.6517287270609303,0.68,0.47761029411764705,0.0,0.68,80,0.0,0.0,250,1.0,0.7272876871442332,11
lemon-sweep-3476,35829,0.8808588244592819,VideoMAE,mean,0.9,3,0.1226190268789284,4,AdamW,reduce,11,sustained_phonation_a,64,512,129,-1,True,False,2.3234385988894792e-05,yes,47,129,1770035275.5082984,0.654275092936803,0.4524682306940372,0.0,0.6488692428099622,0.68,0.5324632352941177,0.0,0.68,80,0.0,0.0,250,1.0,0.734565267857443,47
sandy-sweep-792,48834,0.8808588244592819,VideoMAEv2,mean,0.9,3,0.11600417495130962,4,SGD,step,11,sustained_phonation_a,64,1024,26,-1,True,False,2.9231448172768935e-05,no,34,26,1769855232.921733,0.34686346863468637,0.45236807308570737,0.5150684931506849,0.76117563401641,0.32,0.5027205882352942,0.48484848484848486,0.0,80,0.32,1.0,250,0.0,0.6957562073920537,34
polar-sweep-1639,26585,0.8808588244592819,VJEPA2,mean,0.9,3,0.3378293908377108,4,SGD,reduce,11,sustained_phonation_a,64,1024,62,-1,True,False,0.0005445035622673642,no,97,62,1769909806.850203,0.6531365313653137,0.45197740112994345,0.0,0.6776313064722997,0.6814516129032258,0.4733727810650887,0.0,0.6814516129032258,79,0.0,0.0,248,1.0,0.6989954023430732,97
